"startX" "startY" "startZ" "endX" "endY" "endZ" "cyl_ID" "parent_ID" "extension_ID" "length" "axis_ID" "segment_ID" "node_ID" "branching_order" "X94.5504632813008"
-1.37 -0.66 4.75 -1.37 -0.66 4.75 2834 2833 2835 0 19 2856 2833 2 17.73
-1.51 -0.73 4.83 -1.52 -0.73 4.84 2857 2856 2858 0.01 19 2903 2856 2 67.1
0.45 -0.15 4.65 0.43 -0.2 4.7 3630 3268 3631 0.07 21 3689 3268 2 44.91
0.67 -0.21 4.7 0.67 -0.21 4.7 3296 3295 3297 0.01 185 3306 3295 3 4.74
0.74 -0.24 4.72 0.75 -0.25 4.73 3307 3306 3308 0.01 185 3317 3306 3 28.15
0.82 -0.28 4.75 0.83 -0.28 4.75 3318 3317 3319 0.01 185 3351 3317 3 62.04
1.07 -0.37 4.82 1.08 -0.37 4.83 3352 3351 3353 0.01 185 3374 3351 3 36.83
1.23 -0.41 4.89 1.24 -0.42 4.89 3375 3374 3376 0.01 185 3400 3374 3 47.53
1.39 -0.48 4.98 1.41 -0.49 4.99 3401 3400 3402 0.01 185 3449 3400 3 60.4
1.72 -0.57 5.17 1.72 -0.57 5.17 3450 3449 3451 0 185 3471 3449 3 50.85
0.55 -0.51 5.1 0.49 -0.59 5.07 6720 3689 6721 0.11 21 6836 3689 2 142.54
-0.2 -0.02 6.8 -0.2 -0.02 6.81 4112 4111 4113 0.01 41 4131 4111 2 24.25
-0.29 -0.04 6.96 -0.29 -0.05 6.97 4132 4131 4133 0.01 41 4155 4131 2 19.95
-0.39 -0.07 7.14 -0.39 -0.07 7.15 4156 4155 4157 0.01 41 4176 4155 2 15.15
-0.45 -0.09 7.3 -0.45 -0.09 7.31 4177 4176 4178 0.01 41 4205 4176 2 24.21
-0.47 -0.06 7.55 -0.5 -0.1 7.55 4289 4205 4290 0.05 41 4289 4205 2 39.27
-0.5 -0.1 7.55 -0.5 -0.1 7.56 4290 4289 4291 0 41 4316 4289 2 6.41
-0.11 -0.45 5.01 -0.13 -0.43 5.09 5059 4496 5060 0.08 25 8067 4496 2 56.6
-0.17 -0.73 5.1 -0.17 -0.73 5.1 4532 4531 4533 0 219 4545 4531 3 19.49
-0.19 -0.83 5.15 -0.19 -0.84 5.16 4546 4545 4547 0.01 219 4568 4545 3 59.95
-0.23 -1 5.23 -0.23 -1.01 5.23 4569 4568 4570 0 219 4596 4568 3 46.34
-0.27 -1.2 5.33 -0.27 -1.2 5.33 4597 4596 4598 0.01 219 4617 4596 3 21.4
-0.31 -1.34 5.43 -0.31 -1.35 5.43 4618 4617 4619 0.01 219 4648 4617 3 62.66
-0.35 -1.54 5.56 -0.35 -1.55 5.56 4649 4648 4650 0.01 219 4672 4648 3 32.94
-0.35 -1.7 5.66 -0.35 -1.71 5.67 4673 4672 4674 0.02 219 4688 4672 3 32.09
-0.59 0.08 5.42 -0.59 0.08 5.42 5235 5234 5236 0.01 29 5246 5234 2 22.44
-0.68 0.1 5.47 -0.68 0.1 5.47 5247 5246 5248 0.01 29 5280 5246 2 60.61
-0.93 0.13 5.58 -0.94 0.13 5.58 5281 5280 5282 0.01 29 5301 5280 2 37.7
-1.07 0.14 5.66 -1.08 0.14 5.67 5302 5301 5303 0.01 29 5330 5301 2 33.1
-1.25 0.17 5.8 -1.26 0.17 5.8 5331 5330 5332 0.01 29 5376 5330 2 56.9
